"DividendStocks","EmergingMarkets","ForeignStocks","MunicipalBonds","NaturalResources","RiskTolerance","USStocks","q1","q2","q3","q4","q5","q6","q7","q8"
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,39,87802000,3,83932000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,3,87,77086000,2,77956000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,51,3179000,1,65485000,1,1
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,2,43,35585000,1,44589000,3,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,3,56,90005000,5,49639000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,91,59991000,2,50496000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,23,97485000,2,43680000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,38,24493000,2,95816000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,96,18348000,5,89245000,2,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,1,84,19294000,2,10377000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,62,46589000,3,94236000,2,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,2,51,96212000,1,17627000,3,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,3,72,20687000,1,74201000,1,4
0.06,0.15,0.18,0.21,0.05,0.065,0.35,1,3,85,26835000,2,9363000,1,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,88,45508000,4,41068000,2,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,2,35,58485000,4,2293000,3,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,60,21297000,5,62068000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,79,43811000,5,48006000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,4,18,19988000,1,65333000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,45,71025000,4,71594000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,96,45848000,3,83821000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,41,67742000,1,89216000,2,4
0.08,0.16,0.21,0.15,0.05,0.075,0.35,4,4,85,50507000,5,12714000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,99,77529000,2,26011000,1,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,25,92321000,1,32151000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,33,64189000,3,84332000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,98,16735000,2,50879000,3,1
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,1,30,53141000,1,26209000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,40,12371000,3,76222000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,1,48,6541000,3,73970000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,67,75765000,4,95292000,2,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,2,72,98780000,4,81737000,3,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,38,3612000,2,78859000,1,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,3,56,99943000,4,25730000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,38,18113000,2,74857000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,62,80402000,5,55382000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,45,51073000,4,43212000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,40,91776000,2,56265000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,83,18477000,5,40124000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,94,84003000,3,46557000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,35,14809000,3,34057000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,88,31574000,4,88998000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,62,28895000,2,3512000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,82,52651000,3,42020000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,67,76543000,4,51465000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,79,76617000,5,36869000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,30,94783000,4,73095000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,2,77,80999000,3,41286000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,32,43713000,4,99723000,3,1
0.15,0.05,0.05,0.35,0.07,0.005,0.08,4,1,84,518000,2,995000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,90,20085000,3,26945000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,1,67,21705000,3,82787000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,18,36782000,3,71273000,2,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,3,66,97675000,1,53347000,2,1
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,1,50,62421000,5,29357000,3,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,61,76244000,2,96582000,3,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,4,78,35793000,1,93790000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,41,58049000,1,96374000,3,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,2,88,92998000,5,59026000,1,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,3,81,19484000,1,60489000,1,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,4,20,4217000,3,62561000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,66,3227000,2,31737000,1,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,3,86,3481000,2,94788000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,85,33818000,5,66681000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,75,24037000,1,90681000,1,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,4,25,57339000,5,68223000,1,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,93,40517000,5,6375000,3,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,2,90,95963000,2,30554000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,27,51066000,3,58847000,1,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,4,63,75396000,1,95114000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,34,51171000,4,57592000,3,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,37,84253000,4,3349000,3,2
0.15,0.05,0.05,0.35,0.07,0.005,0.08,2,2,84,27804000,4,77000,2,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,1,56,1238000,1,88325000,1,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,55,59049000,3,40317000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,2,58,38693000,4,45268000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,58,37762000,1,13211000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,33,95974000,3,61732000,3,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,2,55,84531000,3,63351000,1,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,68,17640000,5,92973000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,85,28859000,2,64540000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,21,88080000,3,20142000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,40,10073000,2,23592000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,28,92329000,2,6189000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,65,80786000,1,71208000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,60,56027000,1,89651000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,36,94203000,2,52766000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,88,87306000,1,83416000,1,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,3,30,78886000,3,3804000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,68,81062000,5,19558000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,1,58,28679000,4,33341000,1,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,49,26587000,5,72497000,1,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,1,69,54159000,3,48550000,3,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,3,64,76020000,5,45405000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,3,97,14750000,3,75084000,2,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,2,35,36705000,2,97830000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,73,98020000,3,55434000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,3,32,63562000,5,15997000,3,1
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,4,68,3159000,1,55723000,3,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,3,71,17433000,2,62596000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,45,43901000,4,6178000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,39,94733000,5,60680000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,1,69,11879000,5,64855000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,53,6919000,2,37440000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,53,22624000,1,51480000,1,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,41,25887000,5,98288000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,4,32,3193000,1,38583000,3,1
0.07,0.05,0.05,0.35,0.05,0.01,0.2,4,2,95,51798000,5,3802000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,32,8281000,5,40631000,1,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,4,63,52247000,4,56244000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,41,41925000,3,18321000,1,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,82,34936000,4,74018000,1,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,3,34,41948000,3,15638000,1,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,4,98,59635000,3,74254000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,1,52,70068000,1,79600000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,97,10001000,1,62484000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,88,43300000,4,43174000,3,3
0.06,0.12,0.15,0.29,0.05,0.05,0.33,2,4,74,46546000,3,6182000,3,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,3,24,64878000,5,59299000,3,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,1,79,54867000,3,75688000,1,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,4,28,60322000,2,61269000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,44,18157000,4,76902000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,25,41231000,1,34983000,1,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,38,73302000,5,61822000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,80,38241000,4,5181000,1,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,2,85,36334000,4,25888000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,46,95435000,1,42995000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,2,86,74794000,2,89474000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,49,44343000,3,18027000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,2,47,70845000,5,90775000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,51,72084000,3,62046000,3,1
0.07,0.05,0.05,0.35,0.05,0.01,0.2,1,4,74,7139000,4,1287000,3,4
0.15,0.05,0.05,0.35,0.07,0.005,0.08,2,2,70,71397000,4,586000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,70,43479000,4,11079000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,37,69637000,3,74626000,3,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,68,59734000,1,84090000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,35,13883000,5,50542000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,79,69865000,2,29142000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,96,65592000,5,88222000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,68,27725000,5,38913000,2,2
0.08,0.05,0.11,0.35,0.06,0.025,0.26,2,3,89,81485000,3,6679000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,87,38743000,1,41944000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,4,78,24228000,1,36423000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,2,69,59529000,1,29257000,1,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,2,96,25759000,5,65603000,1,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,3,93,83975000,4,33877000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,4,64,48523000,1,6121000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,65,39234000,4,82230000,2,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,1,28,78659000,1,30478000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,1,78,20852000,1,37729000,2,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,63,86118000,3,24535000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,45,31741000,2,6418000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,49,62741000,3,41356000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,53,52430000,1,51807000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,18,53351000,1,40137000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,55,46944000,2,84646000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,83,34386000,4,14604000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,35,98994000,2,30390000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,4,61,50404000,3,217000,2,1
0.15,0.05,0.05,0.35,0.07,0.005,0.08,4,3,97,81489000,4,687000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,99,31863000,1,34882000,1,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,55,2887000,2,94856000,2,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,3,41,1714000,1,36831000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,87,72931000,2,55698000,1,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,1,55,21951000,5,76222000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,1,31,87603000,5,75413000,3,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,4,60,90717000,5,82913000,1,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,2,49,11306000,1,28462000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,92,7976000,1,79728000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,46,72656000,5,29680000,3,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,2,54,31792000,1,5584000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,40,12625000,1,49176000,2,3
0.08,0.16,0.21,0.15,0.05,0.075,0.35,4,3,85,21108000,2,10719000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,3,90,66912000,4,85909000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,21,55362000,3,56453000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,2,85,44388000,2,13267000,2,4
0.06,0.15,0.18,0.21,0.05,0.065,0.35,1,1,72,37925000,1,16862000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,68,57502000,2,62054000,2,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,66,66956000,3,5060000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,80,85887000,1,41734000,3,1
0.08,0.05,0.11,0.35,0.06,0.025,0.26,4,4,98,71311000,4,5581000,3,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,2,35,41723000,3,68109000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,3,50,77294000,4,67829000,2,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,1,25,34021000,3,44810000,1,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,4,79,52602000,1,84584000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,42,30387000,2,37862000,2,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,2,46,55659000,3,3410000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,41,55424000,5,42260000,2,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,4,24,3212000,5,77500000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,59,86449000,1,31203000,3,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,1,78,91831000,1,65094000,3,4
0.08,0.16,0.21,0.15,0.05,0.075,0.35,4,4,84,58385000,5,21421000,3,3
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,53,20592000,5,4473000,1,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,86,44825000,3,83688000,2,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,3,63,4171000,2,21818000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,1,58,4365000,5,31409000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,3,77,13328000,2,28802000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,63,87234000,3,54470000,1,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,35,45521000,2,65782000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,4,66,35893000,2,74749000,2,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,3,32,40815000,5,4612000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,41,96889000,1,47323000,2,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,4,61,13633000,4,25121000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,1,73,16660000,4,58550000,3,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,1,31,96039000,4,5642000,3,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,57,64718000,4,3840000,1,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,62,37349000,1,27877000,3,1
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,4,68,41244000,2,66205000,2,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,68,79538000,1,78940000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,90,51985000,2,86958000,2,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,33,23558000,3,15614000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,80,52372000,5,48047000,2,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,63,88729000,3,97248000,3,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,62,95593000,1,80689000,1,2
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,4,45,41012000,3,15495000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,1,24,97323000,5,11773000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,86,51539000,4,79648000,1,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,1,39,82766000,2,44356000,1,4
0.07,0.15,0.2,0.18,0.05,0.07,0.35,4,3,85,88022000,2,57890000,3,2
